customer_id,frequency_orders,monetary_total,recency_days,avg_basket_value,avg_items_count,discount_rate,boutique_rate,category_share_Accessories,category_share_Beauty,category_share_Fragrance,category_share_RTW
C000001,5.0,1058.5900000000001,184.0,211.71800000000002,3.2,0.0,0.2,0.152230797570353,0.4661483671676475,0.0,0.3816208352619994
C000002,12.0,3652.3399999999997,38.0,304.3616666666666,3.25,0.25,0.25,0.10236451151864284,0.23523001692065906,0.26842243602731397,0.3939830355333841
C000003,9.0,2021.23,5.0,224.5811111111111,3.6666666666666665,0.1111111111111111,0.1111111111111111,0.0,0.7146638433033351,0.2853361566966649,0.0
C000004,4.0,1514.3200000000002,120.0,378.58000000000004,2.25,0.25,0.5,0.4549698874742458,0.0,0.4613159702044482,0.08371414232130592
C000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C000006,4.0,1432.79,294.0,358.1975,5.5,0.5,0.25,0.30013470222433153,0.6998652977756684,0.0,0.0
C000007,5.0,2262.21,60.0,452.442,4.2,0.0,0.8,0.2655102753502106,0.07987764177507835,0.06486135239434004,0.5897507304803709
C000008,1.0,264.79,337.0,264.79,4.0,0.0,0.0,0.0,0.0,0.0,1.0
C000009,4.0,1636.5,36.0,409.125,3.75,0.0,1.0,0.301344332416743,0.0,0.3451023525817293,0.35355331500152765
C000010,8.0,2779.0099999999998,18.0,347.37624999999997,3.125,0.125,0.875,0.5849241276569714,0.13409451567284753,0.2544755146616961,0.026505842008485037
C000011,3.0,422.64,59.0,140.88,3.3333333333333335,0.0,0.6666666666666666,0.0,0.2379566534166193,0.7620433465833807,0.0
C000012,3.0,2374.56,10.0,791.52,3.3333333333333335,0.0,0.6666666666666666,0.0,0.5272008287851223,0.47279917121487774,0.0
C000013,5.0,1588.3700000000001,78.0,317.67400000000004,3.2,0.2,0.8,0.1784281999785944,0.5837116037195363,0.0,0.2378601963018692
C000014,7.0,2449.23,106.0,349.89,4.142857142857143,0.14285714285714285,0.5714285714285714,0.13882322199221797,0.24534241373819526,0.11773496160017638,0.4980994026694104
C000015,5.0,1806.82,36.0,361.364,4.0,0.0,1.0,0.17450548477435496,0.704608095991853,0.0,0.12088641923379197
C000016,3.0,1021.61,34.0,340.5366666666667,2.3333333333333335,0.0,0.6666666666666666,0.0,0.0,0.0,1.0
C000017,4.0,1156.6,19.0,289.15,4.75,0.0,0.0,0.0,0.4846187100121045,0.3398582050838665,0.17552308490402907
C000018,3.0,1007.31,26.0,335.77,4.0,0.0,0.3333333333333333,0.0,0.3060527543655876,0.0,0.6939472456344125
C000019,6.0,4165.63,58.0,694.2716666666666,3.6666666666666665,0.0,0.5,0.0,0.6434921008346877,0.0,0.35650789916531234
C000020,7.0,1435.13,12.0,205.01857142857145,2.857142857142857,0.14285714285714285,0.5714285714285714,0.11146725383763142,0.7637844655188032,0.12474828064356538,0.0
C000021,3.0,968.76,81.0,322.92,3.3333333333333335,0.3333333333333333,1.0,0.4760931500061935,0.0,0.5239068499938065,0.0
C000022,3.0,1231.8,264.0,410.59999999999997,3.3333333333333335,0.0,0.0,0.0,0.1406478324403312,0.295835362883585,0.5635168046760837
C000023,1.0,92.62,150.0,92.62,4.0,0.0,0.0,1.0,0.0,0.0,0.0
C000024,2.0,480.71,238.0,240.355,2.5,0.5,0.5,0.0,0.39447899981277695,0.0,0.6055210001872231
C000025,2.0,442.87,42.0,221.435,4.0,0.0,0.5,0.0,1.0,0.0,0.0
C000026,5.0,1392.45,208.0,278.49,3.0,0.4,1.0,0.3628352903156307,0.0,0.1231282990412582,0.514036410643111
C000027,5.0,1041.66,31.0,208.33200000000002,3.8,0.0,0.8,0.24422556304360346,0.5831365320738053,0.0,0.17263790488259123
C000028,4.0,1243.3899999999999,153.0,310.84749999999997,3.75,0.0,0.0,0.31106893251514006,0.0,0.3549891827986392,0.33394188468622077
C000029,1.0,360.91,80.0,360.91,4.0,0.0,0.0,1.0,0.0,0.0,0.0
C000030,8.0,4836.74,118.0,604.5925,3.375,0.0,0.625,0.21641436173951878,0.07669215215206937,0.20250623353746533,0.5043872525709466
C000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C000032,4.0,3675.6,419.0,918.9,2.5,0.25,1.0,0.7020785722058983,0.0,0.0,0.29792142779410163
C000033,4.0,750.99,120.0,187.7475,3.0,0.25,0.75,0.2413880344611779,0.5497143770223305,0.07070666719929693,0.13819092131719463
C000034,2.0,699.69,151.0,349.845,2.5,0.0,0.5,0.0,0.18533922165530448,0.8146607783446954,0.0
C000035,3.0,1429.96,15.0,476.65333333333336,4.333333333333333,0.0,1.0,0.9485160424067807,0.051483957593219394,0.0,0.0
C000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C000037,2.0,566.39,170.0,283.195,4.0,0.0,1.0,0.0,0.68032627694698,0.0,0.31967372305302
C000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C000039,4.0,708.92,46.0,177.23,3.75,0.5,0.5,0.10350956384359307,0.2063561473791119,0.6901342887772951,0.0
C000040,2.0,325.52000000000004,446.0,162.76000000000002,3.5,0.0,0.0,0.0,0.17946669943475055,0.8205333005652494,0.0
C000041,5.0,1246.4499999999998,137.0,249.28999999999996,4.8,0.2,0.0,0.23950419190501024,0.2503349512615829,0.19574792410445668,0.31441293272895027
C000042,6.0,1648.98,182.0,274.83,3.6666666666666665,0.16666666666666666,0.3333333333333333,0.1178849955730209,0.7606217176678918,0.12149328675908745,0.0
