customer_id,region,preferred_channel,acquisition_source,age_band,tier
C000001,EMEA,Online,Social,25-34,Standard
C000002,Americas,Mixed,Boutique,55+,Standard
C000003,Japan,Online,Boutique,18-24,Standard
C000004,Americas,Mixed,Event,18-24,VIP
C000005,Americas,Mixed,Event,45-54,Standard
C000006,Japan,Mixed,Social,18-24,Standard
C000007,Japan,Boutique,Social,25-34,Standard
C000008,Asia-Pacific,Online,Boutique,45-54,Standard
C000009,Asia-Pacific,Boutique,Event,35-44,Standard
C000010,Japan,Mixed,Boutique,45-54,Standard
C000011,Asia-Pacific,Mixed,Event,35-44,VIP
C000012,Americas,Mixed,Boutique,18-24,VIP
C000013,Americas,Boutique,Boutique,25-34,Standard
C000014,Japan,Boutique,Referral,35-44,Standard
C000015,Asia-Pacific,Boutique,Online,35-44,VIP
C000016,EMEA,Mixed,Online,55+,VIP
C000017,Americas,Online,Referral,45-54,Loyalty
C000018,Americas,Mixed,Social,18-24,Standard
C000019,EMEA,Boutique,Referral,35-44,Standard
C000020,Americas,Mixed,Social,25-34,VIP
C000021,Japan,Boutique,Referral,25-34,Loyalty
C000022,Americas,Online,Event,55+,Loyalty
C000023,Japan,Mixed,Referral,35-44,Standard
C000024,Americas,Mixed,Referral,18-24,Standard
C000025,EMEA,Online,Online,45-54,VIP
C000026,EMEA,Boutique,Referral,55+,Loyalty
C000027,Asia-Pacific,Mixed,Boutique,18-24,VIP
C000028,Asia-Pacific,Mixed,Social,18-24,Loyalty
C000029,Japan,Online,Referral,18-24,VIP
C000030,Asia-Pacific,Mixed,Online,55+,Standard
C000031,Asia-Pacific,Mixed,Event,55+,Standard
C000032,Americas,Boutique,Online,55+,VIP
C000033,EMEA,Mixed,Social,45-54,Standard
C000034,EMEA,Boutique,Social,25-34,Standard
C000035,Americas,Mixed,Boutique,18-24,VIP
C000036,Japan,Online,Event,25-34,Standard
C000037,Japan,Mixed,Online,35-44,VIP
C000038,Japan,Online,Event,25-34,VIP
C000039,Asia-Pacific,Boutique,Social,45-54,VIP
C000040,Japan,Online,Online,25-34,Standard
C000041,Asia-Pacific,Online,Event,55+,Standard
C000042,Americas,Online,Boutique,18-24,Standard
C000043,EMEA,Online,Social,18-24,VIP
C000044,Americas,Boutique,Referral,25-34,VIP
C000045,Americas,Mixed,Event,55+,Loyalty
C000046,Americas,Boutique,Referral,25-34,Standard
C000047,EMEA,Mixed,Referral,35-44,Loyalty
C000048,Japan,Boutique,Boutique,18-24,Standard
C000049,Japan,Mixed,Social,18-24,Standard
C000050,Americas,Online,Event,45-54,Standard
C000051,Japan,Online,Social,45-54,Standard
C000052,EMEA,Boutique,Event,18-24,Standard
C000053,EMEA,Online,Online,25-34,Loyalty
C000054,Japan,Boutique,Online,45-54,Standard
C000055,Americas,Boutique,Boutique,45-54,Loyalty
C000056,Japan,Boutique,Referral,55+,VIP
C000057,Japan,Online,Online,35-44,Standard
C000058,EMEA,Mixed,Event,18-24,VIP
C000059,Asia-Pacific,Online,Boutique,55+,Loyalty
C000060,Americas,Online,Event,18-24,Standard
C000061,EMEA,Mixed,Boutique,25-34,Loyalty
C000062,EMEA,Mixed,Online,55+,VIP
C000063,EMEA,Mixed,Boutique,45-54,VIP
C000064,Asia-Pacific,Boutique,Online,35-44,Standard
C000065,Asia-Pacific,Boutique,Online,35-44,Loyalty
C000066,Asia-Pacific,Online,Boutique,45-54,VIP
C000067,EMEA,Online,Event,25-34,VIP
C000068,Asia-Pacific,Online,Social,18-24,Standard
C000069,Asia-Pacific,Boutique,Online,45-54,VIP
C000070,Asia-Pacific,Mixed,Event,18-24,VIP
C000071,Asia-Pacific,Mixed,Boutique,25-34,Loyalty
C000072,EMEA,Online,Event,25-34,Loyalty
C000073,Asia-Pacific,Mixed,Online,35-44,Standard
C000074,Asia-Pacific,Mixed,Referral,35-44,Standard
C000075,EMEA,Mixed,Referral,35-44,Standard
C000076,EMEA,Boutique,Online,35-44,Standard
C000077,Japan,Mixed,Referral,55+,Standard
C000078,EMEA,Online,Online,55+,Standard
C000079,Asia-Pacific,Mixed,Event,25-34,Loyalty
C000080,Americas,Online,Social,35-44,Standard
C000081,Asia-Pacific,Online,Online,18-24,Loyalty
C000082,Japan,Mixed,Online,25-34,Standard
C000083,Americas,Boutique,Boutique,25-34,VIP
C000084,Asia-Pacific,Boutique,Online,35-44,Standard
C000085,EMEA,Boutique,Boutique,45-54,Standard
C000086,Americas,Boutique,Social,35-44,Standard
C000087,Americas,Online,Online,45-54,Loyalty
C000088,Asia-Pacific,Online,Social,35-44,VIP
C000089,Japan,Mixed,Event,35-44,Standard
C000090,EMEA,Boutique,Online,55+,Loyalty
C000091,EMEA,Online,Event,45-54,Loyalty
C000092,Asia-Pacific,Boutique,Event,55+,Standard
C000093,Japan,Mixed,Online,35-44,Standard
C000094,Japan,Online,Event,55+,VIP
C000095,Americas,Boutique,Referral,18-24,VIP
C000096,Asia-Pacific,Mixed,Social,18-24,VIP
C000097,Asia-Pacific,Mixed,Social,45-54,Loyalty
C000098,Japan,Mixed,Social,55+,Standard
C000099,Americas,Boutique,Referral,25-34,VIP
C000100,Asia-Pacific,Boutique,Event,18-24,Loyalty
C000101,Asia-Pacific,Online,Referral,55+,VIP
C000102,Asia-Pacific,Boutique,Referral,45-54,VIP
C000103,Americas,Mixed,Referral,25-34,VIP
C000104,EMEA,Boutique,Event,55+,Loyalty
C000105,EMEA,Online,Social,25-34,Standard
C000106,Americas,Online,Boutique,25-34,Loyalty
C000107,EMEA,Boutique,Referral,55+,Standard
C000108,Japan,Boutique,Referral,25-34,Standard
C000109,EMEA,Online,Referral,25-34,Standard
C000110,Japan,Online,Event,25-34,Standard
C000111,Japan,Online,Referral,55+,VIP
C000112,Asia-Pacific,Boutique,Event,55+,Loyalty
C000113,Japan,Online,Referral,45-54,Loyalty
C000114,Americas,Mixed,Social,55+,Loyalty
C000115,Americas,Boutique,Referral,18-24,VIP
C000116,Asia-Pacific,Online,Social,35-44,Loyalty
C000117,EMEA,Online,Online,25-34,Loyalty
C000118,Americas,Mixed,Online,18-24,Loyalty
C000119,Japan,Boutique,Event,45-54,Loyalty
C000120,EMEA,Online,Referral,45-54,VIP
C000121,EMEA,Mixed,Referral,45-54,Standard
C000122,Asia-Pacific,Boutique,Referral,45-54,VIP
C000123,Americas,Boutique,Online,35-44,Loyalty
C000124,Japan,Online,Referral,35-44,VIP
C000125,Japan,Mixed,Online,45-54,Standard
C000126,EMEA,Boutique,Event,55+,VIP
