order_id,customer_id,order_date,category,basket_value,items_count,discount_flag,boutique_flag
ORD0000001,C000001,2025-03-26,Accessories,161.15,3,0,1
ORD0000002,C000001,2024-09-22,Beauty,225.02,2,0,0
ORD0000003,C000001,2025-07-30,RTW,403.98,3,0,0
ORD0000004,C000001,2024-08-10,Beauty,218.44,4,0,0
ORD0000005,C000001,2025-02-08,Beauty,50.0,4,0,0
ORD0000006,C000002,2025-11-22,Beauty,383.82,3,1,0
ORD0000007,C000002,2025-08-21,RTW,173.17,3,0,0
ORD0000008,C000002,2024-09-06,Fragrance,221.72,1,0,0
ORD0000009,C000002,2025-06-07,RTW,540.68,4,0,0
ORD0000010,C000002,2025-06-02,RTW,105.44,4,1,0
ORD0000011,C000002,2025-01-02,Beauty,255.26,4,0,1
ORD0000012,C000002,2025-11-26,Beauty,220.06,4,1,1
ORD0000013,C000002,2025-12-23,RTW,162.92,1,0,1
ORD0000014,C000002,2025-01-12,RTW,456.75,4,0,0
ORD0000015,C000002,2025-08-05,Fragrance,83.79,2,0,0
ORD0000016,C000002,2025-01-09,Fragrance,674.86,5,0,0
ORD0000017,C000002,2025-07-10,Accessories,373.87,4,0,0
ORD0000018,C000003,2025-04-13,Beauty,192.98,4,0,0
ORD0000019,C000003,2024-11-12,Beauty,141.71,3,0,0
ORD0000020,C000003,2025-07-18,Beauty,268.84,7,1,1
ORD0000021,C000003,2025-10-24,Beauty,454.64,2,0,0
ORD0000022,C000003,2026-01-25,Beauty,228.12,1,0,0
ORD0000023,C000003,2025-11-18,Fragrance,221.81,3,0,0
ORD0000024,C000003,2024-08-08,Beauty,158.21,6,0,0
ORD0000025,C000003,2024-10-02,Fragrance,248.69,3,0,0
ORD0000026,C000003,2025-09-11,Fragrance,106.23,4,0,0
ORD0000027,C000004,2025-01-10,Fragrance,698.58,4,0,0
ORD0000028,C000004,2025-09-22,Accessories,510.98,2,0,1
ORD0000029,C000004,2025-10-02,RTW,126.77,1,0,1
ORD0000030,C000004,2025-02-26,Accessories,177.99,2,1,0
ORD0000031,C000006,2025-04-09,Accessories,430.03,4,0,1
ORD0000032,C000006,2025-01-29,Beauty,134.7,7,1,0
ORD0000033,C000006,2025-04-11,Beauty,344.71,7,1,0
ORD0000034,C000006,2024-08-18,Beauty,523.35,4,0,0
ORD0000035,C000007,2024-12-18,Beauty,180.7,4,0,1
ORD0000036,C000007,2025-10-09,Fragrance,146.73,7,0,0
ORD0000037,C000007,2025-05-06,Accessories,600.64,4,0,1
ORD0000038,C000007,2024-11-25,RTW,842.04,4,0,1
ORD0000039,C000007,2025-12-01,RTW,492.1,2,0,1
ORD0000040,C000008,2025-02-27,RTW,264.79,4,0,0
ORD0000041,C000009,2025-11-28,RTW,578.59,4,0,1
ORD0000042,C000009,2025-12-25,Fragrance,564.76,3,0,1
ORD0000043,C000009,2024-11-30,Accessories,344.57,4,0,1
ORD0000044,C000009,2025-11-09,Accessories,148.58,4,0,1
ORD0000045,C000010,2025-09-20,Accessories,812.0,4,0,1
ORD0000046,C000010,2025-12-25,Accessories,617.3,1,0,1
ORD0000047,C000010,2025-02-06,Fragrance,66.95,2,0,1
ORD0000048,C000010,2025-06-11,Beauty,372.65,3,1,1
ORD0000049,C000010,2025-07-14,Fragrance,157.99,3,0,0
ORD0000050,C000010,2026-01-12,Fragrance,482.25,6,0,1
ORD0000051,C000010,2025-01-09,Accessories,196.21,2,0,1
ORD0000052,C000010,2024-11-19,RTW,73.66,4,0,1
ORD0000053,C000011,2025-10-02,Fragrance,166.02,7,0,0
ORD0000054,C000011,2025-01-19,Fragrance,156.05,2,0,1
ORD0000055,C000011,2025-12-02,Beauty,100.57,1,0,1
ORD0000056,C000012,2026-01-20,Beauty,1251.87,3,0,0
ORD0000057,C000012,2025-12-15,Fragrance,1033.51,2,0,1
ORD0000058,C000012,2025-05-20,Fragrance,89.18,5,0,1
ORD0000059,C000013,2025-09-23,Beauty,197.98,6,0,1
